날짜,총거래물량,총거래물량_예측
2020-03-23,309759.0,251410.72
2020-03-24,263171.0,249190.88
2020-03-25,396493.27,244197.89
2020-03-26,136691.0,238726.38
2020-03-27,313125.0,234674.36
2020-03-28,3849.0,233493.23
2020-03-29,179124.225,244600.31
2020-03-30,354399.45,241592.03
2020-03-31,443732.0,241908.58
2020-04-01,478077.0,232381.2
2020-04-02,377632.8,233663.9
2020-04-03,532007.5625,226589.94
2020-04-04,344226.28,233443.86
2020-04-05,349297.585,225209.2
2020-04-06,354368.89,228086.73
2020-04-07,222542.14,221877.67
2020-04-08,282418.34,221421.03
2020-04-09,219381.86,217723.38
2020-04-10,282264.05,220049.5
2020-04-11,131132.2,216968.92
2020-04-12,239610.835,217311.14
2020-04-13,348089.47,218411.72
2020-04-14,325985.29,225932.34
2020-04-15,344246.6,230464.64
2020-04-16,136730.09,227631.7
2020-04-17,145305.0,223613.53
2020-04-18,30679.26,226223.44
2020-04-19,142663.395,227937.83
2020-04-20,254647.53,243471.2
2020-04-21,172175.44,250446.81
2020-04-22,378649.0,263823.22
2020-04-23,64246.1275,267328.7
2020-04-24,47887.0,268618.16
2020-04-25,178856.19,264408.16
2020-04-26,216205.83,262445.53
2020-04-27,253555.47,262188.84
2020-04-28,224209.92,259779.75
2020-04-29,99055.92,255921.53
2020-04-30,146306.32,249613.72
2020-05-01,303137.5,245289.64
2020-05-02,504469.68,242918.31
2020-05-03,432139.39,248630.42
2020-05-04,359809.1,247264.89
2020-05-05,138695.0,254132.38
2020-05-06,383737.0,255574.06
2020-05-07,329703.0,261291.64
2020-05-08,154351.0,256560.42
2020-05-09,356831.0,260447.72
2020-05-10,317060.5,249319.45
2020-05-11,277290.0,261580.27
2020-05-12,129467.0,265940.6
2020-05-13,223404.0,269169.75
2020-05-14,311683.0,269751.44
2020-05-15,498988.0,265400.97
2020-05-16,478629.0,261495.69
2020-05-17,270800.0,255823.53
2020-05-18,62971.0,257184.69
2020-05-19,290991.0,258095.19
2020-05-20,243439.0,268491.16
2020-05-21,464787.0,270829.94
2020-05-22,362586.0,270646.06
2020-05-23,190960.0,264133.12
2020-05-24,307536.0,260388.61
2020-05-25,424112.0,260348.14
2020-05-26,121520.0,259141.19
2020-05-27,257258.0,257495.1
2020-05-28,290140.0,258878.05
2020-05-29,441193.0,255686.12
2020-05-30,320710.0,256497.94
2020-05-31,478482.0,249481.45
2020-06-01,636254.0,249325.9
2020-06-02,541319.0,244647.14
2020-06-03,689831.0,253943.61
2020-06-04,354779.0,249702.72
2020-06-05,370569.0,258250.84
2020-06-06,210185.0,254497.06
2020-06-07,309270.0,261812.05
2020-06-08,408355.0,255157.94
2020-06-09,422055.0,262308.56
2020-06-10,163648.0,252775.62
2020-06-11,549157.0,254873.88
2020-06-12,296021.0,244447.47
2020-06-13,253796.0,250936.9
2020-06-14,344005.5,242649.58
2020-06-15,434215.0,255455.77
2020-06-16,559386.0,253421.9
2020-06-17,479539.0,268989.1
2020-06-18,420209.0,256345.0
2020-06-19,560745.0,264231.38
2020-06-20,322634.0,256725.69
2020-06-21,443326.5,268371.8
2020-06-22,564019.0,265013.3
2020-06-23,514835.0,275276.5
2020-06-24,469411.0,269006.47
2020-06-25,373807.0,275974.9
2020-06-26,312271.0,275080.28
2020-06-27,439317.0,301441.7
2020-06-28,383910.0,290964.75
2020-06-29,328503.0,304762.28
2020-06-30,270499.0,292864.25
2020-07-01,541945.0,323441.4
2020-07-02,562799.0,332872.06
2020-07-03,622215.0,355619.34
2020-07-04,438938.0,327477.72
2020-07-05,571437.0,343217.9
2020-07-06,703936.0,319512.22
2020-07-07,451681.0,332738.7
2020-07-08,585043.0,313163.34
2020-07-09,267171.0,326118.47
2020-07-10,572111.0,310157.97
2020-07-11,157147.0,321079.38
2020-07-12,367855.0,310029.38
2020-07-13,578563.0,329045.25
2020-07-14,349160.0,318955.84
2020-07-15,433587.0,336721.22
2020-07-16,333639.0,314765.8
2020-07-17,568104.0,322280.28
2020-07-18,261009.0,293908.56
2020-07-19,231522.0,301266.34
2020-07-20,202035.0,280616.53
2020-07-21,414771.0,311264.88
2020-07-22,132427.0,308973.2
2020-07-23,248831.0,315046.3
2020-07-24,302159.0,296588.47
2020-07-25,305059.0,312841.9
2020-07-26,305127.0,308402.88
2020-07-27,305195.0,322284.53
2020-07-28,607587.0,302269.44
2020-07-29,631485.0,300367.66
2020-07-30,575971.0,277935.62
2020-07-31,147085.0,274951.7
2020-08-01,315138.3333333334,255826.47
2020-08-02,483191.6666666667,253620.97
2020-08-03,651245.0,246972.03
2020-08-04,470657.0,254926.42
2020-08-05,408307.0,256585.61
2020-08-06,299332.25,261634.55
2020-08-07,302338.5,267297.7
2020-08-08,155725.0,272799.44
2020-08-09,271277.0,267634.5
2020-08-10,386829.0,262564.97
2020-08-11,511471.5,255049.77
2020-08-12,412899.0,255503.2
2020-08-13,282003.0,248283.06
2020-08-14,385619.88,250457.44
2020-08-15,288749.0,246120.73
2020-08-16,340921.5,249527.27
2020-08-17,393094.0,243342.48
2020-08-18,291933.0,242476.86
2020-08-19,195731.0,232607.47
2020-08-20,365019.0,229801.92
2020-08-21,265797.0,220961.36
2020-08-22,94369.0,219916.0
2020-08-23,184504.0,213650.84
2020-08-24,274639.0,216294.94
2020-08-25,187027.0,215025.17
2020-08-26,446735.0,216694.2
2020-08-27,262915.0,217074.3
2020-08-28,172827.0,234621.98
2020-08-29,222056.0,263067.4
2020-08-30,234337.5,259703.95
2020-08-31,246619.0,268378.2
2020-09-01,591460.0,253753.7
2020-09-02,204072.0,265595.97
2020-09-03,576084.0,261517.53
2020-09-04,98479.0,304900.0
2020-09-05,97993.0,308394.84
2020-09-06,260678.0,335963.28
2020-09-07,423363.0,311561.4
2020-09-08,240870.0,340958.53
2020-09-09,12555.0,349591.72
2020-09-10,345675.0,378089.94
2020-09-11,246962.0,358303.9
2020-09-12,205907.0,355757.22
2020-09-13,303388.125,339227.97
2020-09-14,400869.25,340192.3
2020-09-15,217504.0,324256.7
2020-09-16,279887.0,318741.25
2020-09-17,391894.0,304603.1
2020-09-18,340881.0,300548.4
2020-09-19,478490.0,292962.16
2020-09-20,443453.0,288125.28
2020-09-21,408416.0,285712.84
2020-09-22,475169.0,277513.97
2020-09-23,528635.0,273192.06
2020-09-24,717385.0,268938.47
2020-09-25,340904.2,273407.38
2020-09-26,533311.44,275376.97
2020-09-27,538619.22,279215.0
2020-09-28,543927.0,278645.44
2020-09-29,431469.0,284044.25
2020-09-30,13540.0,282837.38
2020-10-01,137188.0,288733.25
2020-10-02,260836.0,288123.7
2020-10-03,384484.0,297559.53
2020-10-04,508132.0,297913.78
2020-10-05,631780.0,306706.44
2020-10-06,418363.0,323594.6
2020-10-07,738999.0,343492.75
2020-10-08,813642.0,356224.8
2020-10-09,905027.0,361688.4
2020-10-10,533341.0,389711.2
2020-10-11,576609.5,402765.4
2020-10-12,619878.0,422503.4
2020-10-13,691289.0,418944.62
2020-10-14,421635.0,438319.3
2020-10-15,724053.0,440191.06
2020-10-16,477557.0,460664.2
2020-10-17,619249.0,450347.25
2020-10-18,623012.0,466544.34
2020-10-19,626775.0,462731.8
2020-10-20,473529.0,493160.47
2020-10-21,1290819.0,477949.5
2020-10-22,763469.0,511077.78
2020-10-23,515477.0,501650.1
2020-10-24,684459.0,568630.6
2020-10-25,784359.0,578808.7
2020-10-26,884259.0,645111.06
2020-10-27,699202.75,616824.9
2020-10-28,545133.0,664715.3
2020-10-29,480776.0,636920.6
2020-10-30,896161.0,684318.0
2020-10-31,362622.0,661799.0
2020-11-01,459001.0,706075.94
2020-11-02,555380.0,681333.44
2020-11-03,738955.0,726932.2
2020-11-04,783562.0,736533.5
2020-11-05,530399.0,784462.94
2020-11-06,722196.0,789606.56
2020-11-07,418116.0,796347.1
2020-11-08,569617.0,781066.06
2020-11-09,721118.0,822166.2
2020-11-10,727638.0,839125.5
2020-11-11,837497.0,868259.4
2020-11-12,845139.0,855756.8
2020-11-13,874245.0,872994.94
2020-11-14,813537.0,865708.25
2020-11-15,1237495.5,891986.44
2020-11-16,1661454.0,890520.75
2020-11-17,1109302.0,920876.4
2020-11-18,717902.0,923442.2
2020-11-19,1352309.0,953222.94
2020-11-20,870881.0,1021671.75
2020-11-21,552602.0,1144047.9
2020-11-22,1213614.25,1210779.1
2020-11-23,1874626.5,1257467.9
2020-11-24,1334718.0,1282592.9
2020-11-25,2102376.0,1319742.6
2020-11-26,2731594.0,1321447.5
2020-11-27,3225390.0,1266627.8
2020-11-28,2322018.0,1266919.0
2020-11-29,2513521.0,1230840.1
2020-11-30,2705024.0,1245374.1
2020-12-01,1798578.0,1199604.6
2020-12-02,1997069.0,1175411.8
2020-12-03,1853294.0,1109560.8
2020-12-04,1554957.0,1065223.5
2020-12-05,1308021.0,1004084.6
2020-12-06,1494649.0,972935.25
2020-12-07,1681277.0,900747.25
